Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P,,,Model,Features,Roll,$p$,Neg,Pos,$m$Prob,TP,Recall,Model & Features & Roll & $p$ & Neg & Pos & $m$Prob & TP & Recall
3135,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_1,Max,0.2058,0.9733,0.7675,0.9733,1,1,0.5,605466,144,107309,647,0.001333877,,,,,,,,,,,,
2395,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_10,Min,0.7317,0.8333,0.1016,0.7317,13,13,0.5,578724,26886,73514,34442,0.249045908,,,,,,,,,,,,
2797,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_10,Max,0.7317,0.8333,0.1016,0.8333,24,24,0.5,597470,8140,90826,17130,0.075401089,,,,,,,,,,,,
2567,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_20,Min,0.7733,0.8047,0.0314,0.7733,100,104,0.509803922,588279,17331,80677,27279,0.160537626,,,,,,,,,,,,
2689,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_20,Max,0.7733,0.8047,0.0314,0.8047,106,110,0.509259259,593500,12110,85844,22112,0.112175331,,,,,,,,,,,,
2610,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_50,Min,0.7843,0.7958,0.0115,0.7843,3481,3361,0.491230634,590167,15443,82448,25508,0.14304902,,,,,,,,,,,,
2603,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_100,Min,0.7827,0.796,0.0133,0.7827,3655,3536,0.491725768,590141,15469,82415,25541,0.143289859,,,,,,,,,,,,
2660,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_100,Max,0.7827,0.796,0.0133,0.796,3419,3498,0.505710568,591942,13668,84227,23729,0.126607136,,,,,,,,,,,,
2616,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_200,Min,0.7858,0.7943,0.0085,0.7858,8776,8605,0.495080835,590212,15398,82494,25462,0.142632183,,,,,,,,,,,,
2652,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_200,Max,0.7858,0.7943,0.0085,0.7943,9886,10112,0.505650565,591898,13712,84177,23779,0.12701471,,,,,,,,,,,,
2639,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_500,Min,0.7911,0.799,0.0079,0.7911,20882,20625,0.496904137,591863,13747,84133,23823,0.127338916,,,,,,,,,,,,
2673,BRFC_alpha_0_5_Hard_Run_0_Round_4,mProb_500,Max,0.7911,0.799,0.0079,0.799,21603,21978,0.504302334,591981,13629,84282,23674,0.126245878,,,,,,,,,,,,
11,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_1,Min,0.0071,0.9943,0.9872,0.0071,2,2,0.5,433,605177,10,107946,5.605774575,,,,,,,,,,,,
9019,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_1,Max,0.0071,0.9943,0.9872,0.9943,1,1,0.5,605551,59,107779,177,0.000546519,,,,,,,,,,,,
7934,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_10,Min,0.8456,0.9827,0.1371,0.8456,53,54,0.504672897,593283,12327,95138,12818,0.114185409,,,,,,,,,,,,
8998,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_10,Max,0.8456,0.9827,0.1371,0.9827,10,10,0.5,605428,182,107528,428,0.001685872,,,,,,,,,,,,
8065,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_20,Min,0.8594,0.9733,0.1139,0.8594,783,781,0.499360614,595442,10168,96860,11096,0.09418652,,,,,,,,,,,,
8975,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_20,Max,0.8594,0.9733,0.1139,0.9733,47,48,0.505263158,605254,356,107197,759,0.00329764,,,,,,,,,,,,
8247,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_50,Min,0.8784,0.9459,0.0675,0.8784,914,880,0.490523969,598471,7139,99405,8551,0.066128793,,,,,,,,,,,,
8829,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_50,Max,0.8784,0.9459,0.0675,0.9459,175,182,0.509803922,604337,1273,105758,2198,0.011791841,,,,,,,,,,,,
8305,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_100,Min,0.8848,0.9141,0.0293,0.8848,1784,1841,0.507862069,599388,6222,100318,7638,0.057634592,,,,,,,,,,,,
8576,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_100,Max,0.8848,0.9141,0.0293,0.9141,868,879,0.503148254,602375,3235,103464,4492,0.029965912,,,,,,,,,,,,
8307,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_200,Min,0.885,0.8957,0.0107,0.885,2622,2525,0.490577035,599536,6074,100433,7523,0.056263663,,,,,,,,,,,,
8371,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_500,Min,0.8918,0.9011,0.0093,0.8918,5892,5682,0.490927942,600365,5245,101310,6646,0.048584609,,,,,,,,,,,,
8456,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_500,Max,0.8918,0.9011,0.0093,0.9011,5311,5459,0.506870938,601387,4223,102391,5565,0.039117789,,,,,,,,,,,,
8385,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_1000,Min,0.8933,0.9058,0.0125,0.8933,12091,11639,0.49047619,600483,5127,101419,6537,0.047491571,,,,,,,,,,,,
8501,BRFC_alpha_0_5_Medium_Run_0_Round_4,mProb_1000,Max,0.8933,0.9058,0.0125,0.9058,10777,11216,0.509980448,601647,3963,102643,5313,0.0367094,,,,,,,,,,,,
343,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_1,Min,0.0354,0.9957,0.9603,0.0354,4,4,0.5,13183,592427,689,107267,5.487670903,,,,,,,,,,,,
9863,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_1,Max,0.0354,0.9957,0.9603,0.9957,2,2,0.5,605485,125,107762,194,0.001157879,,,,,,,,,,,,
8862,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_10,Min,0.8873,0.9954,0.1081,0.8873,80,77,0.49044586,600079,5531,103691,4265,0.051233836,,,,,,,,,,,,
9862,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_10,Max,0.8873,0.9954,0.1081,0.9954,20,20,0.5,605483,127,107760,196,0.001176405,,,,,,,,,,,,
9383,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_20,Min,0.9395,0.9945,0.055,0.9395,102,100,0.495049505,604017,1593,106366,1590,0.014756012,,,,,,,,,,,,
9857,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_20,Max,0.9395,0.9945,0.055,0.9945,36,37,0.506849315,605472,138,107749,207,0.001278299,,,,,,,,,,,,
9555,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_50,Min,0.9569,0.9825,0.0256,0.9569,162,156,0.490566038,604716,894,106964,992,0.008281152,,,,,,,,,,,,
9781,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_50,Max,0.9569,0.9825,0.0256,0.9825,113,116,0.506550218,605343,267,107576,380,0.00247323,,,,,,,,,,,,
9633,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_100,Min,0.9652,0.979,0.0138,0.9652,297,289,0.493174061,604987,623,107209,747,0.00577087,,,,,,,,,,,,
9755,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_100,Max,0.9652,0.979,0.0138,0.979,235,243,0.508368201,605280,330,107509,447,0.003056801,,,,,,,,,,,,
9638,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_200,Min,0.9658,0.975,0.0092,0.9658,579,557,0.490316901,604997,613,107219,737,0.005678239,,,,,,,,,,,,
9723,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_200,Max,0.9658,0.975,0.0092,0.975,466,483,0.508956797,605208,402,107437,519,0.003723739,,,,,,,,,,,,
9626,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_500,Min,0.9643,0.9648,0.0005,0.9643,1525,1471,0.490987984,604964,646,107187,769,0.005983919,,,,,,,,,,,,
163,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_1,Min,0.1284,0.9765,0.8481,0.1284,1,1,0.5,47774,557836,575,107381,5.167253325,,,,,,,,,,,,
3938,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_1,Max,0.1284,0.9765,0.8481,0.9765,1,1,0.5,605482,128,107399,557,0.001185668,,,,,,,,,,,,
1982,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_10,Min,0.5529,0.946,0.3931,0.5529,7,7,0.5,496114,109496,42117,65839,1.014265071,,,,,,,,,,,,
3868,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_10,Max,0.5529,0.946,0.3931,0.946,8,8,0.5,604892,718,105536,2420,0.006650858,,,,,,,,,,,,
3040,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_20,Min,0.755,0.8642,0.1092,0.755,34,33,0.492537313,584899,20711,78403,29553,0.191846678,,,,,,,,,,,,
3595,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_20,Max,0.755,0.8642,0.1092,0.8642,16,16,0.5,600511,5099,95878,12078,0.047232206,,,,,,,,,,,,
3039,BRFC_alpha_balanced_Hard_Run_0_Round_4,mProb_50,Min,0.7549,0.8159,0.061,0.7549,138,134,0.492647059,584897,20713,78402,29554,0.191865204,,,,,,,,,,,,
